model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r37i1p1f1,WCE,P2,2041-2060,1995-2014,2.7555797883508375
ACCESS-ESM1-5,r37i1p1f1,WCE,P3,2081-2100,1995-2014,5.351923443255159
ACCESS-ESM1-5,r38i1p1f1,MED,P1,2021-2040,1995-2014,1.3735074688985969
ACCESS-ESM1-5,r38i1p1f1,MED,P2,2041-2060,1995-2014,2.274792154942581
ACCESS-ESM1-5,r38i1p1f1,MED,P3,2081-2100,1995-2014,4.569536103986534
ACCESS-ESM1-5,r38i1p1f1,NEU,P1,2021-2040,1995-2014,0.59228440488283
ACCESS-ESM1-5,r38i1p1f1,NEU,P2,2041-2060,1995-2014,1.2442317926826925
ACCESS-ESM1-5,r38i1p1f1,NEU,P3,2081-2100,1995-2014,3.875408015498786
ACCESS-ESM1-5,r38i1p1f1,WCE,P1,2021-2040,1995-2014,1.0467395663854275
ACCESS-ESM1-5,r38i1p1f1,WCE,P2,2041-2060,1995-2014,2.2863262439979004
ACCESS-ESM1-5,r38i1p1f1,WCE,P3,2081-2100,1995-2014,5.627374383351694
ACCESS-ESM1-5,r39i1p1f1,MED,P1,2021-2040,1995-2014,1.3490202363198036
